state_name,total_sales
Alabama,344659374
Alaska,52541622
Arizona,575655342
Arkansas,209694030
California,3474256311
Colorado,72035805
Connecticut,309391548
Delaware,65278143
District of Columbia,32958501
Far West,NULL
Florida,1807623543
Georgia,274039065
Great Lakes,488540040
Hawaii,125869386
Idaho,84672150
Illinois,971162811
Indiana,65554626
Iowa,226919130
Kansas,105158970
Kentucky,282909300
Louisiana,298625748
Maine,123654252
Maryland,353950752
Massachusetts,451120491
Michigan,709219086
Mideast,3089699937
Minnesota,435651972
Mississippi,141186129
Missouri,437543484
Montana,44115333
Nebraska,143957229
Nevada,NULL
New England,1050928407
New Hampshire,132899187
New Jersey,792280986
New Mexico,125992950
New York,1609122651
North Carolina,727889448
North Dakota,36584289
Ohio,879962466
Oklahoma,264085728
Oregon,293059953
Pennsylvania,903976326
Plains,512102541
Rhode Island,78114825
Rocky Mountain,314426754
South Carolina,368206608
South Dakota,80194326
Southeast,5206296288
Southwest,1970803590
Tennessee,426781470
Texas,1378922877
United States,26311812000
Utah,311689227
Vermont,47322591
Virginia,244821744
Washington,1240243671
West Virginia,113154723
Wisconsin,423601395
Wyoming,46413705
